Respondent ID,Do you know JavaScript?,Do you know HTML?,Do you know CSS?,Do you know SQL?,Do you know Java?,Do you know Bash/Shell?,Do you know Python?,Do you know R?,Do you know C#?,Do you know PHP?,Do you know C++?,Do you know C?,Do you know anything else?,How good are you at JavaScript?,How good are you at HTML?,How good are you at CSS?,How good are you at SQL?,How good are you at Java?,How good are you at Bash/Shell?,How good are you at Python?,How good are you at R?,How good are you at C#?,How good are you at PHP?,How good are you at C++?,How good are you at C?,How good are you at [OTHER]?,In what country do you live?
10755944298,JavaScript,HTML,CSS,SQL,Java,,,,,PHP,,C,dart,Expert,Expert,Expert,Intermediate,Intermediate,,,,,Expert,,Intermediate,Expert,
10755365054,,,,SQL,Java,Bash/Shell,,,,,,,,,,,Beginner,Beginner,Beginner,,,,,,,,
10755160987,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,,,,Go,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Intermediate,,,,,,Intermediate,Argentina
10753614705,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,,PHP,C++,C,"GO, Haskell",Expert,Expert,Intermediate,Expert,Intermediate,Intermediate,Intermediate,,,Intermediate,Expert,Expert,Expert,India
10750912837,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,PHP,C++,C,,Expert,Expert,Expert,Expert,Expert,Expert,Expert,Beginner,Beginner,Expert,Beginner,Beginner,,Brazil
10750875105,JavaScript,HTML,,SQL,Java,Bash/Shell,Python,,,,C++,C,"Scala, cypher",Beginner,Beginner,,Expert,Intermediate,Beginner,Expert,,,,Expert,Expert,Intermediate,Turkey
10750100554,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,PHP,C++,C,"Objective-C, Swift, Ruby",Expert,Expert,Expert,Beginner,Expert,Beginner,Expert,Beginner,Intermediate,Beginner,Intermediate,Beginner,Intermediate,United States of America
10748399764,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,,C#,PHP,,,,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Beginner,,,,Netherlands
10747069498,JavaScript,,,,,,Python,,,,,,,Expert,,,,,,Expert,,,,,,,China
10747034501,,,,,,Bash/Shell,Python,,,,,,Swift,,,,,,Intermediate,Beginner,,,,,,Expert,United States of America
